Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Darksteel Plate,Crafting,5075,2999,2500,8999,2000,6280.714285714285,6.289566436340443
Uraeus Leather,Crafting,5287,10000,9999,14998,12000,11560.57627118644,35.3412799981158
Void Glue,Crafting,5506,7399,3002,3102,10003,5064.125,23.960127972355732
Wolfram Ingot,Crafting,7607,5000,2500,4998,4998,4658.642857142857,37.73710429247435
Wyvern Leather,Crafting,12563,3998,1390,4000,1500,1824.8456375838925,133.87652498402414
Boar Leather,Crafting,5282,299,149,298,900,842.9524647887324,170.11559365328426
Bronze Rivets,Crafting,5091,60,17,93,129,108.144578313253,24.858376446384504
Bronze Ingot,Crafting,5056,1,1,100,749,73.45753715498938,282.12688087992143
Hard Hippogryph Leather,Crafting,5289,98,98,650,1000,574.8484848484849,19.766800150103705
Hippogryph Leather,Crafting,5288,900,175,1000,1000,668.2785714285715,41.92946383167684
Linen Canvas,Crafting,7026,198,91,150,2400,1933.294964028777,41.629859123686906
Linen Yarn,Crafting,5336,157,46,990,399,191.0344827586207,225.81894183773005
Cotton Yarn,Crafting,5334,100,20,90,20,126.67829880043621,274.6358596902285
Beeswax,Crafting,5515,700,14,250,20,49.531531531531535,33.24372880395739
Mahogany Lumber,Crafting,5374,201,95,500,500,478.0646448523544,375.2637805299544
Rosewood Lumber,Crafting,5376,60,44,140,895,305.81159420289856,495.95786151169864
Saurian Leather,Crafting,7608,2500,200,1000,1890,1927.6451612903227,9.284211327250304
Silk Thread,Crafting,5338,790,281,500,1001,521.6202090592335,85.95359970473221
Vanya Silk,Crafting,5330,1990,900,700,1000,1347.3809523809523,44.0249034877275
Yew Lumber,Crafting,5368,299,30,490,200,154.7417910447761,200.6572140592808
Celestine,Crafting,12912,,2929,2750,4994,4069.153846153846,3.8933386896936244
Holy Cedar Lumber,Crafting,12580,3500,600,2098,2400,4388.374045801526,39.23277201550677
Cobalt Plate,Crafting,5074,3100,100,3094,1702,1676.640326975477,109.91137104452662
Aurum Regis Nugget,Crafting,12522,3000,995,999,999,1136.5807799442896,215.0304118947044
Cassia Lumber,Crafting,12232,3199,3199,3200,3244,2621,1.4974223039621093
Gold Ingot,Crafting,5069,4,1,304,7,39.31108312342569,237.7900614991593
Hardsilver Nugget,Crafting,12520,2000,500,1547,333,773.1830708661417,152.13733103399855
Larimar,Crafting,12541,,450,1500,1500,2422.853242320819,87.7482708977017
Basilisk Whetstone,Crafting,5262,999,499,200,291,612.2325581395348,115.89929221301124
Platinum Nugget,Crafting,9359,2400,999,2100,500,3784.769230769231,3.893247871759732
Titanium Ingot,Crafting,12525,,1500,1149,400,1921.584862385321,130.57319291866358
Titanium Nugget,Crafting,12524,2500,700,2499,1495,1273.3325991189427,135.9634844109511
Topaz,Crafting,5190,,4967,4200,3456,,
Dark Chestnut Lumber,Crafting,12581,499,499,498,997,890.019801980198,120.98890089119054
