Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Boar Leather,Crafting,5282,299,149,295,295,998.263440860215,95.83177826889927
Bronze Rivets,Crafting,5091,60,17,93,129,122.44186046511628,11.07730501973817
Bronze Ingot,Crafting,5056,1,1,100,749,86.76210526315789,122.36530909087594
Hard Hippogryph Leather,Crafting,5289,98,98,650,1000,609.1666666666666,15.456637163767013
Hippogryph Leather,Crafting,5288,900,150,1000,1000,589.3564356435644,26.018615332396628
Linen Canvas,Crafting,7026,198,91,150,2400,1933.294964028777,35.80771925779765
Linen Yarn,Crafting,5336,157,46,990,399,189.83035714285714,144.260993283473
Cotton Yarn,Crafting,5334,100,20,90,20,105.92611683848797,149.92806690988056
Beeswax,Crafting,5515,700,14,250,20,35.333333333333336,27.048820507262324
Mahogany Lumber,Crafting,5374,200,95,500,500,372.12831858407077,232.87696315412566
Rosewood Lumber,Crafting,5376,68,44,850,895,299.98069241011984,386.92525616735503
Saurian Leather,Crafting,7608,2500,200,1000,1890,1865.2333333333333,7.728184137251697
Silk Thread,Crafting,5338,790,281,500,375,376.3853658536585,52.80914392836484
Vanya Silk,Crafting,5330,1990,900,700,1000,1384.6216216216217,19.062770487066985
Yew Lumber,Crafting,5368,299,30,490,200,180.74318181818182,113.34595675618318
Celestine,Crafting,12912,,2930,2750,4994,4069.153846153846,3.3488499549933035
Holy Cedar Lumber,Crafting,12580,3500,600,2098,2400,2240.3898305084745,15.198592956748568
Cobalt Plate,Crafting,5074,3100,100,3094,1790,1675.7513661202186,94.282585317032
Aurum Regis Nugget,Crafting,12522,3000,995,999,999,1230,209.94573177275643
Cassia Lumber,Crafting,12232,3199,3199,3200,3244,2621,1.2880077655593616
Gold Ingot,Crafting,5069,4,1,304,30,41.67107438016529,155.84859837398648
Hardsilver Nugget,Crafting,12520,2000,500,1547,333,744.3826530612245,100.97936339672638
Larimar,Crafting,12541,,450,1500,1500,2441.342560553633,74.44635710893697
Basilisk Whetstone,Crafting,5262,999,499,200,291,602.7486338797814,94.28134341765751
Platinum Nugget,Crafting,9359,2400,999,2100,500,3784.769230769231,3.3487837255599393
Titanium Ingot,Crafting,12525,,1500,1149,400,1929.3556581986143,111.53999270427694
Titanium Nugget,Crafting,12524,2500,700,2499,1495,1315.024193548387,95.82630032954033
Topaz,Crafting,5190,,4967,4200,3456,,
Dark Chestnut Lumber,Crafting,12581,499,499,498,997,773.0505050505051,76.50615014577211
Adamantite Nugget,Crafting,12526,820,499,800,1499,869.8023255813954,88.61299213334209
Adamantite Rivets,Crafting,12530,6,6,506,250,573.9527559055118,32.714608383283675
Birch Lumber,Crafting,12583,600,150,600,600,3133.207920792079,26.0170717938248
Cassia Block,Crafting,13758,4000,2096,2000,4650,,
Astral Oil,Crafting,12606,3000,1001,900,969,1054.3333333333333,1.5455619331610126
Kamacite,Crafting,25009,,11111,2000,11110,11110,2.5759310148115686
Galvanized Garlond Steel,Crafting,14935,3993,1500,3993,3993,3993,0.2575925369212264
Cryptomeria Lumber,Crafting,26530,,30000,28000,30000,,
Enchanted Hardsilver Ink,Crafting,12602,4000,3987,3850,3850,3842.75,2.060731209583639
Hardsilver Ingot,Crafting,12521,3000,800,3250,5000,2090.3485714285716,45.078396423723625
Platinum Ingot,Crafting,9360,4,2,98,90,60.44656172328086,310.91146701690064
Pure Titanium Plate,Crafting,26532,,38038,30000,30000,,
Rhodonite,Crafting,19967,2000,1200,1999,1999,5427.576923076923,6.697318058867471
Aurum Regis Ingot,Crafting,12523,249,99,500,480,778.6363636363636,17.0008470696744
Dragon Leather,Crafting,12565,1000,200,1200,152,583.1666666666666,15.455281667127803
Gagana Leather,Crafting,19993,795,98,969,990,686.36,25.758745976317726
High Mythrite Ingot,Crafting,14146,6489,2499,4008,8,3873.722222222222,18.54625682335748
Mythrite Rivets,Crafting,12528,2700,1840,2999,500,2085.4666666666667,3.8637950210302177
Tempered Glass,Crafting,16908,,8495,10000,15420,,
Wing Glue,Crafting,5507,2180,2000,2190,2100,2994.8372093023254,11.076164380296264
Beech Lumber,Crafting,19925,375,9,399,949,1098.5852713178294,66.45683935473966
Eikon Iron Ingot,Crafting,14149,750,647,2099,2099,1735.3725490196077,13.136788599051492
Koppranickel Nugget,Crafting,19938,579,150,320,795,874.81640625,65.94138349084274
Molybdenum Ingot,Crafting,19947,600,600,900,850,1015.4984227129338,81.6538006042386
Triphane,Crafting,19962,200,200,585,900,592.4406779661017,15.197362096295645
Hallowed Chestnut Lumber,Crafting,12582,,495,1000,2500,1411.546511627907,22.15203888635167
Wolfram Square,Crafting,8029,995,200,1200,189,656.5,3.0909753651468503
Hallowed Water,Crafting,12605,70,70,80,209,401.36708860759495,20.348877409785842
Clear Glass Lens,Crafting,5512,100,54,200,77,152.34301270417424,141.92667261828572
Cobalt Nails,Crafting,7020,250,20,90,800,,
Cobalt Rings,Crafting,5084,37,37,155,730,469.8888888888889,4.636422985900446
Dhalmel Leather,Crafting,12564,5000,2999,4123,3000,2780.4772727272725,56.66726661776452
High Allagan Chimera Leather,Crafting,12233,1495,493,2000,1000,713.7272727272727,2.8333571559721875
Amphiptere Leather,Crafting,12566,275,50,323,500,328.9264705882353,17.515260509375633
