Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Mythrite Nugget,Crafting,12518,1450,900,2300,2000,1497.5261282660333,225.93291370226711
Oak Lumber,Crafting,5373,399,331,399,390,597.9973498233215,303.7474436813263
Steel Nails,Crafting,7019,249,90,249,249,255.83636363636364,29.516025468558443
Steel Plate,Crafting,5073,1101,301,1000,1200,658.8205128205128,41.8589960342236
Darksteel Plate,Crafting,5075,2999,2500,8999,2000,6280.714285714285,5.634851641571105
Uraeus Leather,Crafting,5287,10000,9999,14998,12000,11560.57627118644,31.6624268556444
Void Glue,Crafting,5506,7399,2500,3102,10003,5064.125,21.466003215106195
Wolfram Ingot,Crafting,7607,5000,2500,4998,4998,4658.642857142857,33.808880337886606
Wyvern Leather,Crafting,12563,3998,1390,4000,4000,1834.9022222222222,120.74573481566753
Boar Leather,Crafting,5282,299,149,295,295,841.9894551845342,152.67591505133316
Bronze Rivets,Crafting,5091,60,17,93,129,108.144578313253,22.270778064475518
Bronze Ingot,Crafting,5056,1,1,100,749,73.45753715498938,252.75934666810727
Hard Hippogryph Leather,Crafting,5289,98,98,650,1000,574.8484848484849,17.709213061267317
Hippogryph Leather,Crafting,5288,900,150,1000,1000,668.2785714285715,37.56491428180759
Linen Canvas,Crafting,7026,198,91,150,2400,1933.294964028777,37.29650893828661
Linen Yarn,Crafting,5336,157,46,990,399,191.0344827586207,202.31284800544134
Cotton Yarn,Crafting,5334,100,20,90,20,126.67829880043621,246.04833788665087
Beeswax,Crafting,5515,700,14,250,20,49.531531531531535,29.78331938333729
Mahogany Lumber,Crafting,5374,200,95,500,500,478.0646448523544,336.2019458066261
Rosewood Lumber,Crafting,5376,68,44,850,895,306.4680337756333,444.8695802630759
Saurian Leather,Crafting,7608,2500,200,1000,1890,1927.6451612903227,8.317807215234097
Silk Thread,Crafting,5338,790,281,500,375,520.1896551724138,77.81156872823381
Vanya Silk,Crafting,5330,1990,900,700,1000,1347.3809523809523,39.4423256584267
Yew Lumber,Crafting,5368,299,30,490,200,154.7417910447761,179.77074000991576
Celestine,Crafting,12912,,2930,2750,4994,4069.153846153846,3.488081064129706
Holy Cedar Lumber,Crafting,12580,3500,600,2098,2400,4388.374045801526,35.14904656510328
Cobalt Plate,Crafting,5074,3100,100,3094,1790,1676.640326975477,98.47077689104755
Aurum Regis Nugget,Crafting,12522,3000,995,999,999,1229.1202749140894,234.2364963021402
Cassia Lumber,Crafting,12232,3199,3199,3200,3244,2621,1.34155710461038
Gold Ingot,Crafting,5069,4,1,304,30,39.29937106918239,213.30709173258194
Hardsilver Nugget,Crafting,12520,2000,500,1547,333,773.1830708661417,136.30158957404268
