Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Wyvern Leather,Crafting,12563,3998,1390,4000,4000,1834.9022222222222,118.41110626195871
Boar Leather,Crafting,5282,299,149,295,295,841.9894551845342,149.72393349631568
Bronze Rivets,Crafting,5091,60,17,93,129,108.144578313253,21.840173709075035
Bronze Ingot,Crafting,5056,1,1,100,749,73.45753715498938,247.8722585087448
Hard Hippogryph Leather,Crafting,5289,98,98,650,1000,574.8484848484849,17.36679585244596
Hippogryph Leather,Crafting,5288,900,150,1000,1000,668.2785714285715,36.838578211047356
Linen Canvas,Crafting,7026,198,91,150,2400,1933.294964028777,36.57536482948306
Linen Yarn,Crafting,5336,157,46,990,399,191.0344827586207,198.4011811455681
Cotton Yarn,Crafting,5334,100,20,90,20,126.67829880043621,241.291094184914
Beeswax,Crafting,5515,700,14,250,20,49.531531531531535,29.207472516295166
Mahogany Lumber,Crafting,5374,200,95,500,500,478.0646448523544,329.7016378160223
Rosewood Lumber,Crafting,5376,68,44,850,895,306.4680337756333,436.2682408208223
Saurian Leather,Crafting,7608,2500,200,1000,1890,1927.6451612903227,8.156987100557023
Silk Thread,Crafting,5338,790,281,500,375,520.1896551724138,76.30712092067027
Vanya Silk,Crafting,5330,1990,900,700,1000,1347.3809523809523,38.67970147047676
Yew Lumber,Crafting,5368,299,30,490,200,154.7417910447761,176.2948451113261
Celestine,Crafting,12912,,2930,2750,4994,4069.153846153846,3.4206387085226955
Holy Cedar Lumber,Crafting,12580,3500,600,2098,2400,4388.374045801526,34.46943724738361
Cobalt Plate,Crafting,5074,3100,100,3094,1790,1676.640326975477,96.56683366606278
Aurum Regis Nugget,Crafting,12522,3000,995,999,999,1229.1202749140894,229.70752262915596
Cassia Lumber,Crafting,12232,3199,3199,3200,3244,2621,1.3156186870715076
Gold Ingot,Crafting,5069,4,1,304,30,39.29937106918239,209.18288753446276
Hardsilver Nugget,Crafting,12520,2000,500,1547,333,773.1830708661417,133.66625274316112
Larimar,Crafting,12541,,450,1500,1500,2422.853242320819,77.09473119416148
Basilisk Whetstone,Crafting,5262,999,499,200,291,612.2325581395348,101.82795670489067
Platinum Nugget,Crafting,9359,2400,999,2100,500,3784.769230769231,3.4205700219053568
Titanium Ingot,Crafting,12525,,1500,1149,400,1918.7465753424658,115.24664663891899
Titanium Nugget,Crafting,12524,2500,700,2499,1495,1273.3325991189427,119.45630509240642
Topaz,Crafting,5190,,4967,4200,3456,,
Dark Chestnut Lumber,Crafting,12581,499,499,498,997,890.019801980198,106.29983960805399
Adamantite Nugget,Crafting,12526,820,499,800,1499,851.832,98.66918507176815
Adamantite Rivets,Crafting,12530,6,6,506,250,562.8307692307692,34.20524130592006
Birch Lumber,Crafting,12583,600,150,600,600,2359.5,36.310098596576104
Cassia Block,Crafting,13758,4000,2096,2000,4650,4650,2.1049286413803747
Astral Oil,Crafting,12606,3000,1001,900,969,1723.5116279069769,11.313966573082778
Kamacite,Crafting,25009,,11111,2000,11110,11110,2.631149441367355
Galvanized Garlond Steel,Crafting,14935,3993,1500,3993,3993,3993,0.26311436681162553
Cryptomeria Lumber,Crafting,26530,,30000,28000,30000,,
Enchanted Hardsilver Ink,Crafting,12602,4000,3987,3850,3850,4938.136363636364,5.7884902075414955
Hardsilver Ingot,Crafting,12521,3000,800,3250,5000,2104.219895287958,50.25448179264336
Platinum Ingot,Crafting,9360,4,2,98,90,59.38505280259951,323.890739867214
Pure Titanium Plate,Crafting,26532,,38038,30000,30000,,
Rhodonite,Crafting,19967,2000,1200,1999,1999,5175.413793103448,7.630210470498679
Aurum Regis Ingot,Crafting,12523,249,99,500,480,584.3333333333334,24.46924098528361
Dragon Leather,Crafting,12565,1000,200,1200,152,758.4148936170212,24.73229589897784
Gagana Leather,Crafting,19993,795,98,969,990,689.0071942446043,36.572140836828666
High Mythrite Ingot,Crafting,14146,6489,2499,4008,8,4307.168421052632,24.995291790761115
Mythrite Rivets,Crafting,12528,2700,1840,2999,500,2251.8823529411766,4.472828651379437
Tempered Glass,Crafting,16908,,8495,10000,15420,15420,2.6310696634802864
Wing Glue,Crafting,5507,2180,2000,2190,2100,2934.185185185185,14.20774378298954
Beech Lumber,Crafting,19925,375,9,399,949,1097.8192307692307,68.40750392883956
Eikon Iron Ingot,Crafting,14149,750,647,2099,2099,1637,19.20667843331178
Koppranickel Nugget,Crafting,19938,579,150,320,795,929.0071174377224,73.93239295721781
Molybdenum Ingot,Crafting,19947,600,600,900,850,949.9128440366973,114.7133439272568
Triphane,Crafting,19962,200,200,585,900,552.068493150685,19.206546802729747
Hallowed Chestnut Lumber,Crafting,12582,,495,1000,2500,1422.2358490566037,27.888896492065765
Wolfram Square,Crafting,8029,995,200,1200,189,656.5,3.1572266422860014
Hallowed Water,Crafting,12605,70,70,80,209,480.3762376237624,26.57326548175548
Clear Glass Lens,Crafting,5512,100,54,200,77,130.43353293413173,219.68896073962648
